index,triad_id,original_id,critique_id,response_id,issn,original_year,critique_year,response_year,original_is_oa,critique_is_oa,response_is_oa,all_oa,author_jacard,strictly_transitive,multi_issue,distinct_pdf_urls,multi_critique,extended_by,extends
22,W2922135076_W2964249021_W2969291732,https://openalex.org/W2922135076,https://openalex.org/W2964249021,https://openalex.org/W2969291732,0001-6349,2019,2019,2019,1,1,1,1,1.0,1,1,1.0,,,
23,W2947070993_W2959699307_W2969849044,https://openalex.org/W2947070993,https://openalex.org/W2959699307,https://openalex.org/W2969849044,0001-6349,2019,2019,2019,1,1,1,1,1.0,1,1,1.0,,,
24,W2947070993_W2965208463_W2973198476,https://openalex.org/W2947070993,https://openalex.org/W2965208463,https://openalex.org/W2973198476,0001-6349,2019,2019,2019,1,1,1,1,1.0,1,1,1.0,,,
25,W2810675817_W2886620675_W2895547317,https://openalex.org/W2810675817,https://openalex.org/W2886620675,https://openalex.org/W2895547317,0001-6349,2018,2018,2018,1,1,1,1,0.7142857142857143,1,1,1.0,,,
26,W2800932985_W2889089152_W2897250379,https://openalex.org/W2800932985,https://openalex.org/W2889089152,https://openalex.org/W2897250379,0001-6349,2018,2018,2018,1,1,1,1,1.0,1,1,1.0,,,
27,W2851970093_W2888611705_W2890241779,https://openalex.org/W2851970093,https://openalex.org/W2888611705,https://openalex.org/W2890241779,0001-6349,2018,2018,2018,1,1,1,1,1.0,1,1,1.0,,,
28,W2808333609_W2886100852_W2890983393,https://openalex.org/W2808333609,https://openalex.org/W2886100852,https://openalex.org/W2890983393,0001-6349,2018,2018,2018,1,1,1,1,1.0,1,1,1.0,,,
29,W2911435370_W2919384242_W2937112424,https://openalex.org/W2911435370,https://openalex.org/W2919384242,https://openalex.org/W2937112424,0001-6349,2019,2019,2019,1,1,1,1,1.0,1,1,1.0,,,
30,W2999001098_W3015725028_W3023699238,https://openalex.org/W2999001098,https://openalex.org/W3015725028,https://openalex.org/W3023699238,0001-6349,2020,2020,2020,1,1,1,1,1.0,1,1,1.0,,,
31,W2915172500_W2969546467_W2974131431,https://openalex.org/W2915172500,https://openalex.org/W2969546467,https://openalex.org/W2974131431,0001-6349,2019,2019,2019,1,1,1,1,0.5,1,1,1.0,,,
32,W2969591341_W2973846006_W2982091860,https://openalex.org/W2969591341,https://openalex.org/W2973846006,https://openalex.org/W2982091860,0001-6349,2019,2019,2019,1,1,1,1,0.9166666666666666,1,1,1.0,,,
33,W2982458707_W2996484346_W3149557097,https://openalex.org/W2982458707,https://openalex.org/W2996484346,https://openalex.org/W3149557097,0001-6349,2019,2019,2020,1,1,1,1,1.0,1,0,1.0,,,
34,W2991840050_W2998672271_W2998552219,https://openalex.org/W2991840050,https://openalex.org/W2998672271,https://openalex.org/W2998552219,0001-6349,2019,2020,2020,1,1,1,1,1.0,1,0,1.0,,,
35,W1887181264_W2028262250_W1975422834,https://openalex.org/W1887181264,https://openalex.org/W2028262250,https://openalex.org/W1975422834,0001-690X,2012,2013,2013,1,1,1,1,0.5,1,1,1.0,,,
36,W2038166601_W3184384888_W3176665240,https://openalex.org/W2038166601,https://openalex.org/W3184384888,https://openalex.org/W3176665240,0001-9054,2014,2021,2021,1,1,1,1,0.5,1,1,1.0,,,
37,W4386648135_W4386632328_W4386632422,https://openalex.org/W4386648135,https://openalex.org/W4386632328,https://openalex.org/W4386632422,0002-7294,2023,2023,2023,1,1,1,1,0.5,0,0,1.0,,,
38,W2138339131_W1841899037_W1979723679,https://openalex.org/W2138339131,https://openalex.org/W1841899037,https://openalex.org/W1979723679,0002-8282,2008,2011,2011,1,1,1,1,0.6666666666666666,0,1,1.0,,,
39,W4241914475_W3123146428_W4254664113,https://openalex.org/W4241914475,https://openalex.org/W3123146428,https://openalex.org/W4254664113,0002-8282,2007,2012,2012,1,1,1,1,1.0,1,1,1.0,,,
40,W3122582713_W2083727721_W2018238112,https://openalex.org/W3122582713,https://openalex.org/W2083727721,https://openalex.org/W2018238112,0002-8282,2001,2014,2014,1,1,1,1,1.0,1,1,1.0,,,
41,W3125898453_W2557874679_W4248964662,https://openalex.org/W3125898453,https://openalex.org/W2557874679,https://openalex.org/W4248964662,0002-8282,2011,2016,2016,1,1,1,1,1.0,1,1,1.0,,,
42,W3125817541_W2626881546_W4253134189,https://openalex.org/W3125817541,https://openalex.org/W2626881546,https://openalex.org/W4253134189,0002-8282,2013,2017,2017,1,1,1,1,1.0,1,1,1.0,,,
43,W2048267822_W2956061677_W4253358553,https://openalex.org/W2048267822,https://openalex.org/W2956061677,https://openalex.org/W4253358553,0002-8282,2013,2019,2019,1,1,1,1,1.0,1,1,1.0,,,
44,W2164519007_W1987088186_W2158524798,https://openalex.org/W2164519007,https://openalex.org/W1987088186,https://openalex.org/W2158524798,0002-8282,2004,2008,2008,1,1,1,1,0.5,1,1,1.0,,,
45,W1974497413_W2028422639_W2066522762,https://openalex.org/W1974497413,https://openalex.org/W2028422639,https://openalex.org/W2066522762,0002-7863,2011,2012,2012,1,1,1,1,0.5,1,1,1.0,,,
46,W1532016090_W1863427987_W1932709445,https://openalex.org/W1532016090,https://openalex.org/W1863427987,https://openalex.org/W1932709445,0002-8614,2004,2005,2005,1,1,1,1,1.0,1,1,1.0,,,
47,W1518386324_W1827753596_W1945615097,https://openalex.org/W1518386324,https://openalex.org/W1827753596,https://openalex.org/W1945615097,0002-8614,2005,2006,2006,1,1,1,1,0.6666666666666666,1,1,1.0,,,
48,W2090887682_W1978421442_W1970450776,https://openalex.org/W2090887682,https://openalex.org/W1978421442,https://openalex.org/W1970450776,0002-8614,2012,2012,2012,1,1,1,1,0.6666666666666666,1,1,1.0,,,
49,W2093391499_W2019657037_W2029539260,https://openalex.org/W2093391499,https://openalex.org/W2019657037,https://openalex.org/W2029539260,0002-8614,2012,2013,2013,1,1,1,1,1.0,1,1,1.0,,,
50,W1754978620_W2066699799_W4238302913,https://openalex.org/W1754978620,https://openalex.org/W2066699799,https://openalex.org/W4238302913,0002-8614,2013,2014,2014,1,1,1,1,1.0,1,1,1.0,,,
51,W2288863443_W1982308545_W1998372220,https://openalex.org/W2288863443,https://openalex.org/W1982308545,https://openalex.org/W1998372220,0002-8614,2013,2014,2014,1,1,1,1,1.0,1,1,1.0,,,
52,W2153699005_W2090812480_W2020054830,https://openalex.org/W2153699005,https://openalex.org/W2090812480,https://openalex.org/W2020054830,0002-8614,2014,2014,2014,1,1,1,1,1.0,1,1,1.0,,,
53,W2027114766_W2742018562_W2062492593,https://openalex.org/W2027114766,https://openalex.org/W2742018562,https://openalex.org/W2062492593,0002-8614,2014,2015,2015,1,1,1,1,1.0,1,1,1.0,,,
54,W2006661109_W2139808167_W1501350215,https://openalex.org/W2006661109,https://openalex.org/W2139808167,https://openalex.org/W1501350215,0002-8614,2014,2015,2015,1,1,1,1,1.0,1,1,1.0,,,
55,W2084338535_W2270197978_W2465804664,https://openalex.org/W2084338535,https://openalex.org/W2270197978,https://openalex.org/W2465804664,0002-8614,2015,2016,2016,1,1,1,1,1.0,1,1,1.0,,,
56,W2303492701_W2504623287_W2483476924,https://openalex.org/W2303492701,https://openalex.org/W2504623287,https://openalex.org/W2483476924,0002-8614,2016,2016,2016,1,1,1,1,0.5,1,1,1.0,,,
57,W2597215844_W2747757602_W2748698502,https://openalex.org/W2597215844,https://openalex.org/W2747757602,https://openalex.org/W2748698502,0002-8614,2017,2017,2017,1,1,1,1,0.6,1,1,1.0,,,
58,W2621080429_W2767070367_W2766061386,https://openalex.org/W2621080429,https://openalex.org/W2767070367,https://openalex.org/W2766061386,0002-8614,2017,2017,2017,1,1,1,1,0.75,1,1,1.0,,,
59,W2310520207_W2586042418_W2585622746,https://openalex.org/W2310520207,https://openalex.org/W2586042418,https://openalex.org/W2585622746,0002-8614,2016,2017,2017,1,1,1,1,1.0,1,1,1.0,,,
60,W2468374079_W2593941263_W2594037271,https://openalex.org/W2468374079,https://openalex.org/W2593941263,https://openalex.org/W2594037271,0002-8614,2016,2017,2017,1,1,1,1,0.8571428571428571,1,1,1.0,,,
61,W2467588870_W2587100499_W2586086515,https://openalex.org/W2467588870,https://openalex.org/W2587100499,https://openalex.org/W2586086515,0002-8614,2016,2017,2017,1,1,1,1,1.0,1,1,1.0,,,
62,W2567383381_W2600064503_W2687474498,https://openalex.org/W2567383381,https://openalex.org/W2600064503,https://openalex.org/W2687474498,0002-8614,2016,2017,2017,1,1,1,1,0.6,1,1,1.0,,,
63,W2529505282_W2621766723_W2623983799,https://openalex.org/W2529505282,https://openalex.org/W2621766723,https://openalex.org/W2623983799,0002-8614,2016,2017,2017,1,1,1,1,1.0,1,1,1.0,,,
64,W2600398937_W2736026364_W2735863930,https://openalex.org/W2600398937,https://openalex.org/W2736026364,https://openalex.org/W2735863930,0002-8614,2017,2017,2017,1,1,1,1,0.8571428571428571,1,1,1.0,,,
65,W2794477246_W2897036390_W2897830214,https://openalex.org/W2794477246,https://openalex.org/W2897036390,https://openalex.org/W2897830214,0002-8614,2018,2018,2018,1,1,1,1,1.0,1,1,1.0,,,
66,W2595643684_W2767565926_W2767380678,https://openalex.org/W2595643684,https://openalex.org/W2767565926,https://openalex.org/W2767380678,0002-8614,2017,2017,2017,1,1,1,1,0.6,1,1,1.0,,,
67,W2790036797_W2886090705_W2886094357,https://openalex.org/W2790036797,https://openalex.org/W2886090705,https://openalex.org/W2886094357,0002-8614,2018,2018,2018,1,1,1,1,1.0,1,1,1.0,,,
68,W2947331135_W2972681349_W2972504259,https://openalex.org/W2947331135,https://openalex.org/W2972681349,https://openalex.org/W2972504259,0002-8614,2019,2019,2019,1,1,1,1,1.0,1,1,1.0,,,
69,W2801207981_W2896884285_W2896558651,https://openalex.org/W2801207981,https://openalex.org/W2896884285,https://openalex.org/W2896558651,0002-8614,2018,2018,2018,1,1,1,1,1.0,1,1,1.0,,,
70,W2895778623_W2912572353_W2914123957,https://openalex.org/W2895778623,https://openalex.org/W2912572353,https://openalex.org/W2914123957,0002-8614,2018,2019,2019,1,1,1,1,0.5,1,1,1.0,,,
71,W2895195076_W2925088889_W2924351034,https://openalex.org/W2895195076,https://openalex.org/W2925088889,https://openalex.org/W2924351034,0002-8614,2018,2019,2019,1,1,1,1,1.0,1,1,1.0,,,
72,W2906506265_W3023494808_W3021577558,https://openalex.org/W2906506265,https://openalex.org/W3023494808,https://openalex.org/W3021577558,0002-8614,2018,2019,2019,1,1,1,1,1.0,1,1,1.0,,,
73,W2912375069_W2969179617_W2968834678,https://openalex.org/W2912375069,https://openalex.org/W2969179617,https://openalex.org/W2968834678,0002-8614,2019,2019,2019,1,1,1,1,1.0,1,1,1.0,,,
74,W2966884244_W2995728795_W2996735981,https://openalex.org/W2966884244,https://openalex.org/W2995728795,https://openalex.org/W2996735981,0002-8614,2019,2019,2019,1,1,1,1,0.5,1,1,1.0,,,
75,W2979117335_W2999837340_W3000235451,https://openalex.org/W2979117335,https://openalex.org/W2999837340,https://openalex.org/W3000235451,0002-8614,2019,2020,2020,1,1,1,1,1.0,1,1,1.0,,,
76,W3012931853_W3025769209_W3021614987,https://openalex.org/W3012931853,https://openalex.org/W3025769209,https://openalex.org/W3021614987,0002-8614,2020,2020,2020,1,1,1,1,1.0,1,1,1.0,,,
77,W3046349313_W3117233484_W3117571652,https://openalex.org/W3046349313,https://openalex.org/W3117233484,https://openalex.org/W3117571652,0002-8614,2020,2020,2020,1,1,1,1,1.0,1,1,1.0,,,
78,W3098377489_W3127309602_W3126385955,https://openalex.org/W3098377489,https://openalex.org/W3127309602,https://openalex.org/W3126385955,0002-8614,2020,2021,2021,1,1,1,1,1.0,1,1,1.0,,,
79,W3117878036_W3163151722_W3162740521,https://openalex.org/W3117878036,https://openalex.org/W3163151722,https://openalex.org/W3162740521,0002-8614,2021,2021,2021,1,1,1,1,1.0,1,1,1.0,,,
80,W3199780263_W3214243291_W3212669629,https://openalex.org/W3199780263,https://openalex.org/W3214243291,https://openalex.org/W3212669629,0002-8614,2021,2021,2021,1,1,1,1,1.0,1,1,1.0,,,
81,W4308638537_W4386020263_W4386020156,https://openalex.org/W4308638537,https://openalex.org/W4386020263,https://openalex.org/W4386020156,0002-8614,2022,2023,2023,1,1,1,1,1.0,1,1,1.0,,,
82,W4327681673_W4386346994_W4386378368,https://openalex.org/W4327681673,https://openalex.org/W4386346994,https://openalex.org/W4386378368,0002-8614,2023,2023,2023,1,1,1,1,1.0,1,1,1.0,,,
83,W2548930764_W2609042966_W2615439609,https://openalex.org/W2548930764,https://openalex.org/W2609042966,https://openalex.org/W2615439609,0002-9122,2016,2017,2017,1,1,1,1,1.0,1,1,1.0,,,
84,W2983138911_W3014973349_W3014551260,https://openalex.org/W2983138911,https://openalex.org/W3014973349,https://openalex.org/W3014551260,0002-9165,2020,2020,2020,1,1,1,1,1.0,1,1,1.0,,,
85,W3124486989_W3174191603_W3174566750,https://openalex.org/W3124486989,https://openalex.org/W3174191603,https://openalex.org/W3174566750,0002-9165,2021,2021,2021,1,1,1,1,0.5,1,1,1.0,,,
86,W3179163382_W4206507845_W4210292114,https://openalex.org/W3179163382,https://openalex.org/W4206507845,https://openalex.org/W4210292114,0002-9165,2021,2022,2022,1,1,1,1,0.7142857142857143,1,1,1.0,,,
87,W1577832317_W1877136644_W2140092461,https://openalex.org/W1577832317,https://openalex.org/W1877136644,https://openalex.org/W2140092461,0002-9165,1996,2000,2000,1,1,1,1,1.0,1,1,1.0,,,
88,W2012326328_W2057515272_W2128057246,https://openalex.org/W2012326328,https://openalex.org/W2057515272,https://openalex.org/W2128057246,0002-9262,1996,1996,1996,1,1,1,1,0.6666666666666666,1,0,1.0,,,
89,W2075130897_W2057515272_W2157707419,https://openalex.org/W2075130897,https://openalex.org/W2057515272,https://openalex.org/W2157707419,0002-9262,1996,1996,1996,1,1,1,1,1.0,1,0,1.0,,,
90,W1978372652_W2129002635_W2084991578,https://openalex.org/W1978372652,https://openalex.org/W2129002635,https://openalex.org/W2084991578,0002-9262,1999,1999,1999,1,1,1,1,1.0,1,0,1.0,,,
91,W2114999000_W2149766714_W2155096469,https://openalex.org/W2114999000,https://openalex.org/W2149766714,https://openalex.org/W2155096469,0002-9262,1999,1999,1999,1,1,1,1,1.0,1,0,1.0,,,
92,W2141086218_W2088522878_W2123227670,https://openalex.org/W2141086218,https://openalex.org/W2088522878,https://openalex.org/W2123227670,0002-9262,2000,2000,2000,1,1,1,1,1.0,1,0,1.0,,,
93,W2090977784_W1988318033_W2145441148,https://openalex.org/W2090977784,https://openalex.org/W1988318033,https://openalex.org/W2145441148,0002-9262,2001,2001,2001,1,1,1,1,0.75,1,0,1.0,,,
94,W2121788922_W1991158324_W2171752650,https://openalex.org/W2121788922,https://openalex.org/W1991158324,https://openalex.org/W2171752650,0002-9262,2004,2004,2004,1,1,1,1,0.5,1,0,1.0,,,
95,W2166496916_W2164414133_W2005063232,https://openalex.org/W2166496916,https://openalex.org/W2164414133,https://openalex.org/W2005063232,0002-9262,2004,2004,2004,1,1,1,1,1.0,1,0,1.0,,,
96,W2102187991_W2153945503_W2088686673,https://openalex.org/W2102187991,https://openalex.org/W2153945503,https://openalex.org/W2088686673,0002-9262,2004,2004,2004,1,1,1,1,0.5,1,0,1.0,,,
97,W2070990882_W2146675641_W4252075377,https://openalex.org/W2070990882,https://openalex.org/W2146675641,https://openalex.org/W4252075377,0002-9262,2004,2005,2005,1,1,1,1,0.8333333333333334,1,1,1.0,,,
98,W2055162416_W2166820911_W4251605857,https://openalex.org/W2055162416,https://openalex.org/W2166820911,https://openalex.org/W4251605857,0002-9262,2005,2005,2005,1,1,1,1,1.0,1,1,1.0,,,
99,W2131981140_W1990373404_W1709001469,https://openalex.org/W2131981140,https://openalex.org/W1990373404,https://openalex.org/W1709001469,0002-9262,2005,2005,2005,1,1,1,1,1.0,1,1,1.0,,,
100,W2154891700_W2165383995_W2005597649,https://openalex.org/W2154891700,https://openalex.org/W2165383995,https://openalex.org/W2005597649,0002-9262,2005,2005,2005,1,1,1,1,0.75,1,0,1.0,,,
101,W2125272280_W1977513599_W4242882489,https://openalex.org/W2125272280,https://openalex.org/W1977513599,https://openalex.org/W4242882489,0002-9262,2005,2005,2005,1,1,1,1,1.0,1,1,1.0,,,
102,W2118142668_W2118122727_W2167250153,https://openalex.org/W2118142668,https://openalex.org/W2118122727,https://openalex.org/W2167250153,0002-9262,2006,2006,2006,1,1,1,1,1.0,1,0,1.0,,,
103,W2166897940_W2132444722_W2113326386,https://openalex.org/W2166897940,https://openalex.org/W2132444722,https://openalex.org/W2113326386,0002-9262,2006,2006,2006,1,1,1,1,1.0,1,0,1.0,,,
104,W2158395254_W2169550154_W2130872842,https://openalex.org/W2158395254,https://openalex.org/W2169550154,https://openalex.org/W2130872842,0002-9262,2006,2006,2006,1,1,1,1,0.5,1,0,1.0,,,
105,W2098460720_W3151424830_W2485341524,https://openalex.org/W2098460720,https://openalex.org/W3151424830,https://openalex.org/W2485341524,0002-9262,2006,2006,2006,1,1,1,1,1.0,1,1,1.0,,,
106,W2105383003_W2122573018_W4246651040,https://openalex.org/W2105383003,https://openalex.org/W2122573018,https://openalex.org/W4246651040,0002-9262,2005,2006,2006,1,1,1,1,1.0,1,1,1.0,,,
107,W2155356459_W2120141545_W2130277097,https://openalex.org/W2155356459,https://openalex.org/W2120141545,https://openalex.org/W2130277097,0002-9262,2006,2006,2006,1,1,1,1,1.0,1,0,1.0,,,
108,W2130953171_W2074736326_W4252509701,https://openalex.org/W2130953171,https://openalex.org/W2074736326,https://openalex.org/W4252509701,0002-9262,2005,2006,2006,1,1,1,1,1.0,1,1,1.0,,,
109,W2097800881_W2142708279_W2037390919,https://openalex.org/W2097800881,https://openalex.org/W2142708279,https://openalex.org/W2037390919,0002-9262,1998,2006,2006,1,1,1,1,0.5,1,1,1.0,,,
110,W2113451285_W2156023281_W2156574042,https://openalex.org/W2113451285,https://openalex.org/W2156023281,https://openalex.org/W2156574042,0002-9262,2007,2007,2007,1,1,1,1,1.0,1,0,1.0,,,
111,W2111909480_W2157241651_W2127147731,https://openalex.org/W2111909480,https://openalex.org/W2157241651,https://openalex.org/W2127147731,0002-9262,2007,2007,2007,1,1,1,1,1.0,1,0,1.0,,,
112,W2099783502_W2124145723_W2163353797,https://openalex.org/W2099783502,https://openalex.org/W2124145723,https://openalex.org/W2163353797,0002-9262,2007,2007,2007,1,1,1,1,1.0,1,0,1.0,,,
113,W2118326728_W2171775379_W1987839951,https://openalex.org/W2118326728,https://openalex.org/W2171775379,https://openalex.org/W1987839951,0002-9262,2007,2007,2007,1,1,1,1,1.0,1,0,1.0,,,
114,W2098468480_W2151473967_W2144090048,https://openalex.org/W2098468480,https://openalex.org/W2151473967,https://openalex.org/W2144090048,0002-9262,2008,2008,2008,1,1,1,1,1.0,1,0,1.0,,,
115,W2165236237_W2103802127_W2148814721,https://openalex.org/W2165236237,https://openalex.org/W2103802127,https://openalex.org/W2148814721,0002-9262,2008,2008,2008,1,1,1,1,1.0,1,0,1.0,,,
116,W2115809269_W2130460068_W2131287105,https://openalex.org/W2115809269,https://openalex.org/W2130460068,https://openalex.org/W2131287105,0002-9262,2008,2008,2008,1,1,1,1,0.6666666666666666,1,0,1.0,,,
117,W2034726621_W2169551885_W4250859313,https://openalex.org/W2034726621,https://openalex.org/W2169551885,https://openalex.org/W4250859313,0002-9262,2007,2008,2008,1,1,1,1,1.0,1,1,1.0,,,
118,W2111909480_W2104151624_W4230942436,https://openalex.org/W2111909480,https://openalex.org/W2104151624,https://openalex.org/W4230942436,0002-9262,2007,2008,2008,1,1,1,1,1.0,1,1,1.0,,,
119,W2151473967_W2133127709_W2049178955,https://openalex.org/W2151473967,https://openalex.org/W2133127709,https://openalex.org/W2049178955,0002-9262,2008,2008,2008,1,1,1,1,1.0,1,1,1.0,,,
120,W2103347596_W2135985529_W2095610842,https://openalex.org/W2103347596,https://openalex.org/W2135985529,https://openalex.org/W2095610842,0002-9262,2008,2008,2008,1,1,1,1,0.8571428571428571,1,0,1.0,,,
121,W2166462835_W2125765502_W2106840181,https://openalex.org/W2166462835,https://openalex.org/W2125765502,https://openalex.org/W2106840181,0002-9262,2008,2008,2008,1,1,1,1,1.0,1,0,1.0,,,
122,W2163195447_W2098643742_W2149915867,https://openalex.org/W2163195447,https://openalex.org/W2098643742,https://openalex.org/W2149915867,0002-9262,2008,2008,2008,1,1,1,1,0.7142857142857143,1,0,1.0,,,
123,W2137074485_W2141204960_W2019676133,https://openalex.org/W2137074485,https://openalex.org/W2141204960,https://openalex.org/W2019676133,0002-9262,2008,2008,2008,1,1,1,1,0.5,1,0,1.0,,,
124,W2129651782_W2153914966_W4241348567,https://openalex.org/W2129651782,https://openalex.org/W2153914966,https://openalex.org/W4241348567,0002-9262,2008,2008,2008,1,1,1,1,1.0,1,1,1.0,,,
125,W2135707955_W2106921700_W2125523965,https://openalex.org/W2135707955,https://openalex.org/W2106921700,https://openalex.org/W2125523965,0002-9262,2004,2009,2009,1,1,1,1,0.5,1,1,1.0,,,
126,W2137514719_W2158636509_W2109258996,https://openalex.org/W2137514719,https://openalex.org/W2158636509,https://openalex.org/W2109258996,0002-9262,2009,2009,2009,1,1,1,1,0.75,1,0,1.0,,,
127,W2155698347_W1979009682_W2139029374,https://openalex.org/W2155698347,https://openalex.org/W1979009682,https://openalex.org/W2139029374,0002-9262,2009,2009,2009,1,1,1,1,1.0,1,0,1.0,,,
128,W2159553172_W2133912251_W2095599785,https://openalex.org/W2159553172,https://openalex.org/W2133912251,https://openalex.org/W2095599785,0002-9262,2009,2009,2009,1,1,1,1,1.0,1,0,1.0,,,
129,W2171490915_W2015972698_W2170509475,https://openalex.org/W2171490915,https://openalex.org/W2015972698,https://openalex.org/W2170509475,0002-9262,2009,2009,2009,1,1,1,1,0.625,1,1,1.0,,,
130,W2153903892_W2140566333_W4233935811,https://openalex.org/W2153903892,https://openalex.org/W2140566333,https://openalex.org/W4233935811,0002-9262,2008,2009,2009,1,1,1,1,1.0,1,1,1.0,,,
131,W2004938830_W2115502088_W2132755859,https://openalex.org/W2004938830,https://openalex.org/W2115502088,https://openalex.org/W2132755859,0002-9262,2009,2009,2009,1,1,1,1,1.0,1,0,1.0,,,
132,W2148223149_W2143993320_W2150583825,https://openalex.org/W2148223149,https://openalex.org/W2143993320,https://openalex.org/W2150583825,0002-9262,2009,2009,2009,1,1,1,1,1.0,1,0,1.0,,,
133,W2090038019_W2146679862_W2163988555,https://openalex.org/W2090038019,https://openalex.org/W2146679862,https://openalex.org/W2163988555,0002-9262,2010,2010,2010,1,1,1,1,1.0,1,0,1.0,,,
134,W2159946830_W2128193104_W2118164201,https://openalex.org/W2159946830,https://openalex.org/W2128193104,https://openalex.org/W2118164201,0002-9262,2010,2010,2010,1,1,1,1,0.6666666666666666,1,0,1.0,,,
135,W2116172333_W2156307164_W2102845844,https://openalex.org/W2116172333,https://openalex.org/W2156307164,https://openalex.org/W2102845844,0002-9262,2010,2010,2010,1,1,1,1,1.0,1,0,1.0,,,
